Time,Funding Rate
2023-05-01 20:00:00,0.000968%
2023-05-01 12:00:00,0.000566%
2023-05-01 04:00:00,-0.006370%
2023-04-30 20:00:00,0.002435%
2023-04-30 12:00:00,0.006078%
2023-04-30 04:00:00,0.003500%
2023-04-29 20:00:00,0.003132%
2023-04-29 12:00:00,0.007826%
2023-04-29 04:00:00,0.006750%
2023-04-28 20:00:00,0.000037%
2023-04-28 12:00:00,0.004476%
2023-04-28 04:00:00,0.010000%
2023-04-27 20:00:00,0.010000%
2023-04-27 12:00:00,0.003265%
2023-04-27 04:00:00,0.005769%
2023-04-26 20:00:00,0.002518%
2023-04-26 12:00:00,0.010000%
2023-04-26 04:00:00,0.001686%
2023-04-25 20:00:00,0.004346%
2023-04-25 12:00:00,0.008541%
2023-04-25 04:00:00,0.006606%
2023-04-24 20:00:00,0.005066%
2023-04-24 12:00:00,0.002630%
2023-04-24 04:00:00,0.003694%
2023-04-23 20:00:00,0.004679%
2023-04-23 12:00:00,0.002369%
2023-04-23 04:00:00,0.001376%
2023-04-22 20:00:00,0.003767%
2023-04-22 12:00:00,0.002090%
2023-04-22 04:00:00,0.006857%
2023-04-21 20:00:00,0.010000%
2023-04-21 12:00:00,0.010000%
2023-04-21 04:00:00,0.010000%
2023-04-20 20:00:00,0.006297%
2023-04-20 12:00:00,0.005898%
2023-04-20 04:00:00,0.003668%
2023-04-19 20:00:00,0.008579%
2023-04-19 12:00:00,-0.000081%
2023-04-19 04:00:00,0.006231%
2023-04-18 20:00:00,0.010000%
2023-04-18 12:00:00,0.006771%
2023-04-18 04:00:00,-0.000510%
2023-04-17 20:00:00,0.004683%
2023-04-17 12:00:00,0.010000%
2023-04-17 04:00:00,0.007376%
2023-04-16 20:00:00,0.010000%
2023-04-16 12:00:00,0.010000%
2023-04-16 04:00:00,0.010000%
2023-04-15 20:00:00,0.007143%
2023-04-15 12:00:00,0.010000%
2023-04-15 04:00:00,0.008454%
2023-04-14 20:00:00,-0.004975%
2023-04-14 12:00:00,0.003420%
2023-04-14 04:00:00,0.010000%
2023-04-13 20:00:00,-0.000113%
2023-04-13 12:00:00,0.010000%
2023-04-13 04:00:00,0.004427%
2023-04-12 20:00:00,0.006664%
2023-04-12 12:00:00,0.001747%
2023-04-12 04:00:00,0.008195%
2023-04-11 20:00:00,0.009582%
2023-04-11 12:00:00,0.010000%
2023-04-11 04:00:00,0.010000%
2023-04-10 20:00:00,0.010000%
2023-04-10 12:00:00,0.006167%
2023-04-10 04:00:00,0.010000%
2023-04-09 20:00:00,0.010000%
2023-04-09 12:00:00,-0.000853%
2023-04-09 04:00:00,-0.000904%
2023-04-08 20:00:00,0.000950%
2023-04-08 12:00:00,0.003192%
2023-04-08 04:00:00,0.000466%
2023-04-07 20:00:00,0.000268%
2023-04-07 12:00:00,0.001055%
2023-04-07 04:00:00,-0.001473%
2023-04-06 20:00:00,0.001004%
2023-04-06 12:00:00,-0.002975%
2023-04-06 04:00:00,0.003597%
2023-04-05 20:00:00,0.001442%
2023-04-05 12:00:00,0.005265%
2023-04-05 04:00:00,0.008517%
2023-04-04 20:00:00,0.002760%
2023-04-04 12:00:00,-0.001276%
2023-04-04 04:00:00,-0.001357%
2023-04-03 20:00:00,-0.006009%
2023-04-03 12:00:00,0.005687%
2023-04-03 04:00:00,-0.001240%
2023-04-02 20:00:00,0.001759%
2023-04-02 12:00:00,0.004514%
2023-04-02 04:00:00,0.006893%
2023-04-01 20:00:00,0.004527%
2023-04-01 12:00:00,0.008839%
2023-04-01 04:00:00,0.010000%
2023-03-31 20:00:00,0.010000%
2023-03-31 12:00:00,0.010000%
2023-03-31 04:00:00,0.006358%
2023-03-30 20:00:00,-0.002712%
2023-03-30 12:00:00,0.001122%
2023-03-30 04:00:00,0.005638%
2023-03-29 20:00:00,0.006986%
